L1-icache-load-misses,branch-loads,dTLB-store-misses,L1-dcache-load-misses,bus-cycles,branch-instructions,LLC-load-misses,cpu-cycles,cache-references,dTLB-load-misses,L1-dcache-stores,branch-misses,LLC-stores,iTLB-load-misses,branch-load-misses,LLC-loads,L1-dcache-loads,cache-misses,LLC-store-misses,instructions
475470,4374816,9,38420,35184943,3221859,2855,70383346,18088428,9,18101189,597376,462230,3,507819,462241,18101187,39672,2856,49516190
483753,4376002,2,40505,35162424,3208814,3313,70269220,18038600,2,18085101,596003,459522,1,507089,459148,18085101,39375,3325,49394419
474552,4400195,3,39207,35159344,3220946,3596,70409668,18079490,3,18077850,598556,474411,2,512679,474753,18077849,39953,3585,49527033
473701,4783535,4,37649,35177432,3055955,3232,70313223,18102169,4,18142725,572793,501319,1,557246,500919,18142725,30193,3240,49668872
471134,5138406,2,37749,35213087,3201239,3219,70351348,18105137,2,18126720,592095,540658,2,599196,541076,18126721,38132,3208,49611055
485861,5085804,1,40061,35218884,3243273,17201,70391193,18106070,1,18117254,599292,569559,0,592281,569536,18117255,41049,17225,49542511
475971,5123774,0,38217,35120679,3224188,3997,70378051,17677679,0,18101527,597234,538347,0,599599,538336,18101527,41617,3989,48305654
480356,4718602,0,39434,35178560,3200936,2829,70498178,18117860,0,18072709,592544,491869,0,548572,491920,18072709,38309,2812,49597858
470383,4387723,0,37223,35173922,3202815,2825,70363314,18048542,0,18108583,594082,461731,0,509936,461718,18106510,37872,2827,49379003
479512,4765711,4,39472,35180310,3223366,2855,70321333,18095766,4,18106071,595099,504950,2,556927,504945,18105112,38833,2850,49665729
476892,4994028,5,38126,35145632,3264615,3784,70317654,18114623,5,18135648,594844,490894,1,576520,490899,18135644,40318,3806,49604247
476149,4425054,5,38165,35152202,3219633,2245,70330153,18085355,5,18101230,594601,324149,1,493038,324153,18104265,40569,2204,49504654
476478,4081263,3,39304,35196998,3231328,1901,70346838,18073911,3,18094764,593138,304129,1,457086,304145,18094765,38950,1904,49491788
477603,4591237,1,39078,35224981,3208195,2979,70336997,18118914,1,18112862,593894,433225,1,526836,433194,18112860,40323,3008,49622856
477397,4742360,0,39573,35207236,3182640,1606,70360909,18126820,0,18104101,592168,333647,2,524189,333643,18104103,35759,1549,49803691
477804,4878731,1,38900,35154401,3220692,2358,70347214,18067735,1,18101973,596723,408520,1,551580,408488,18101973,39357,2426,49379057
473716,4867259,1,38321,35120736,3219771,2695,70308182,18072729,1,18126352,595913,406436,2,550250,406483,18126352,39453,2667,49505580
480857,4441366,0,39756,35173693,3228478,1784,70301028,18066529,0,18115653,597031,313531,0,492827,313561,18115652,39806,1745,49409252
470688,4281910,2,37178,35173622,3209043,2409,70303538,18121103,2,18133962,593764,418710,0,493995,418674,18133962,38632,2461,49630610
477134,4348013,2,38915,35156978,3190190,1866,70298977,18098290,2,18077309,592051,310326,1,483072,310332,18077306,37991,1827,49555926
476314,4826235,0,39269,35173406,3211466,2109,70269833,18077919,0,18098384,590971,388267,1,543173,388266,18096427,49141,2138,49513418
